Date,Category,DDR4 8G (1G*8) 2400 Mbps,DDR4 4G (512M*8) 2400 Mbps,DDR3 4Gb 512Mx8 1600/1866Mbps,DDR3 4Gb 512Mx8 eTT,DDR3 4Gb 256Mx16 1600/1866Mbps,DDR3 2Gb 256Mx8 1600/1866Mbps,SLC 2Gb 256MBx8,SLC 1Gb 128MBx8,MLC 64Gb 8GBx8,MLC 32Gb 4GBx8,3D TLC  256Gb,MicroSD 32GB C10/U1/U3,MicroSD 16GB C10/U1,MicroSD 32GB Ink die,MicroSD 16GB Ink die,eMMC 16GB,eMMC 8GB,eMMC 4GB
13 March 2018,Spot - $ Per GB,1.125625,1.16025,0.91425,0.7225,0.8015,0.9245,,,0.062484375,0.09146875,,,,,,,,
14 March 2018,Spot - $ Per GB,1.125125,1.15975,0.909500001,0.72075,0.8015,0.9245,,,0.06196875,0.09134375,,,,,,,,
15 March 2018,Spot - $ Per GB,1.122875,1.15325,0.904000001,0.72075,0.80025,0.9245,,,0.061453125,0.0911875,,,,,,,,
16 March 2018,Spot - $ Per GB,1.125,1.15225,0.9025,0.71825,0.80025,0.9245,,,0.06125,0.09115625,,,,,,,,
19 March 2018,Spot - $ Per GB,1.127000001,1.15075,0.9025,0.71825,0.80025,0.9245,,,0.061,0.09059375,,,,,,,,
20 March 2018,Spot - $ Per GB,1.128500001,1.14975,0.9025,0.71675,0.80025,0.9185,,,0.060984375,0.09025,,,,,,,,
21 March 2018,Spot - $ Per GB,1.128500001,1.14325,0.902,0.71675,0.80025,0.9185,,,0.06071875,0.089875,,,,,,,,
22 March 2018,Spot - $ Per GB,1.129,1.13825,0.8945,0.715,0.80025,0.9185,,,0.060671875,0.08975,,,,,,,,
23 March 2018,Spot - $ Per GB,1.130000001,1.13625,0.89275,0.71075,0.80025,0.9185,,,0.060546875,0.089625,,,,,,,,
26 March 2018,Spot - $ Per GB,1.13325,1.135250001,0.892,0.71,0.80025,0.9185,,,0.0605,0.089625,,,,,,,,
27 March 2018,Spot - $ Per GB,1.1335,1.132750001,0.89125,0.70825,0.80025,0.9185,,,0.0604375,0.08903125,,,,,,,,
28 March 2018,Spot - $ Per GB,1.132125,1.13225,0.88975,0.70825,0.80275,0.9185,,,0.06028125,0.088875,,,,,,,,
29 March 2018,Spot - $ Per GB,1.132125,1.13175,0.88725,0.7075,0.80275,0.9185,,,0.060203125,0.08865625,,,,,,,,
30 March 2018,Spot - $ Per GB,1.12925,1.125,0.887,0.7075,0.80275,0.9185,,,0.060046875,0.0885,,,,,,,,
02 April 2018,Spot - $ Per GB,1.12925,1.124,0.8865,0.7075,0.80275,0.9185,,,0.0599375,0.0884375,,,,,,,,
03 April 2018,Spot - $ Per GB,1.12925,1.12225,0.885,0.70575,0.80375,0.9185,,,0.060171875,0.0884375,,,,,,,,
04 April 2018,Spot - $ Per GB,1.12925,1.12225,0.885,0.705,0.805,0.9185,,,0.06021875,0.08859375,,,,,,,,
