Date,DDR4 16GB Registered-DIMM 2133MHz,DDR4 32GB Registered-DIMM,DDR4 4GB DIMM 2133MHz,DDR4 8GB DIMM 2133MHz,DDR4 8Gb 1G*8 2400/2666 MHz,DDR4 4Gb 512Mx8 2400/2666 MHz,TLC Flash 256Gb,TLC Flash 128Gb,TLC Flash 64Gb,MLC Flash 64Gb
15 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
16 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
17 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
18 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
21 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
22 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
25 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
28 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
29 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
31 October 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
01 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
04 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
05 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
06 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
07 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
08 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
11 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
12 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
13 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
14 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
15 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
18 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
19 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
21 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
22 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
25 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
26 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
27 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
28 November 2019,63.7,112.4,13.6,25.2,2.9,1.45,,,,
04 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
05 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
09 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
10 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
11 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
12 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
13 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
16 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
17 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
18 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
19 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
20 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
23 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
24 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
25 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
26 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
27 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
30 December 2019,61.1,107.2,13.55,25.1,2.89,1.44,,,,
31 December 2019,60.7,106.4,13.3,24.6,2.83,1.41,,,,
02 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
03 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
06 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
07 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
08 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
13 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
14 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
15 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
16 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
17 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
20 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
21 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
22 January 2020,60.7,106.4,13.3,24.6,2.83,1.41,,,,
03 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
04 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
05 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
06 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
10 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
11 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
12 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
13 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
14 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
17 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
18 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
19 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
20 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
21 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
24 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
25 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
26 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
27 February 2020,60.4,105.8,13.15,24.3,2.79,1.39,,,,
02 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
03 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
04 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
05 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
06 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
09 March 2020,61.8,108.6,13.15,24.3,2.79,1.39,,,,
17 April 2020,62.2,109.4,13.15,24.3,2.79,1.39,3.04,2.04,2.24,2.56
04 May 2020,66.5,118.0,13.35,24.7,2.84,1.42,3.24,1.83,2.02,2.35
05 May 2020,66.5,118.0,13.35,24.7,2.84,1.42,3.24,1.83,2.02,2.35
06 May 2020,66.5,118.0,13.35,24.7,2.84,1.42,3.24,1.83,2.02,2.35
07 May 2020,66.5,118.0,13.35,24.7,2.84,1.42,3.24,1.83,2.02,2.35
11 May 2020,66.50,118.00,13.35,24.70,2.84,1.42,3.24,1.83,2.02,2.35
