Date,DDR4 16GB Registered-DIMM 2133MHz,DDR4 32GB Registered-DIMM,DDR4 4GB DIMM 2133MHz,DDR4 8GB DIMM 2133MHz,DDR4 8Gb 1G*8 2400/2666 MHz,DDR4 4Gb 512Mx8 2400/2666 MHz,TLC Flash 256Gb,TLC Flash 128Gb,TLC Flash 64Gb,MLC Flash 64Gb
15 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
16 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
17 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
18 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
21 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
22 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
25 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
28 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
29 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
31 October 2019,-1.55%,-1.75%,-2.86%,-3.08%,-3.33%,-3.33%,,,,
01 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
04 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
05 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
06 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
07 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
08 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
11 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
12 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
13 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
14 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
15 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
18 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
19 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
21 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
22 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
25 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
26 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
27 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
28 November 2019,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
04 December 2019,-4.08%,-4.63%,-0.37%,-0.40%,-0.43%,-0.43%,,,,
05 December 2019,-4.08%,-4.63%,-0.37%,-0.40%,-0.43%,-0.43%,,,,
09 December 2019,-4.08%,-4.63%,-0.37%,-0.40%,-0.43%,-0.43%,,,,
10 December 2019,-4.08%,-4.63%,-0.37%,-0.40%,-0.43%,-0.43%,,,,
11 December 2019,-4.08%,-4.63%,-0.37%,-0.40%,-0.43%,-0.43%,,,,
